year,id,protocol_id,index
2019,8190,Income,1150
2019,8178,Income,1131
2019,8177,Income,1126
2019,8176,Income,1123
2019,5130,Income,1230
2019,5131,Income,1234
2019,5132,Income,1247
2019,5133,Income,1245
2019,8882,Income,1035
2019,4725,Income,998
2019,4726,Income,1007
2019,4727,Income,998
2019,8175,Income,1116
2019,8163,Income,827
2019,8162,Income,833
2019,8161,Income,877
2019,8160,Income,878
2019,8148,Income,1250
2019,8147,Income,1241
2019,5145,Income,420
2019,5146,Income,390
2019,5147,Income,380
2019,5148,Income,380
2019,4728,Income,1009
2019,9077,Income,827
2019,9076,Income,871
2019,9075,Income,872
2019,8146,Income,1224
2019,8145,Income,1201
2019,8133,Income,1141
2019,8132,Income,1090
2019,8131,Income,1081
2019,8130,Income,1086
2019,8118,Income,1017
2019,5160,Income,987
2019,5161,Income,989
2019,5162,Income,978
2019,5163,Income,964
2019,9063,Income,1258
2019,8881,Income,1038
2019,8880,Income,1030
2019,8868,Income,1059
2019,8117,Income,1008
2019,8116,Income,1008
2019,8115,Income,1005
2019,8103,Income,1167
2019,8102,Income,1156
2019,8101,Income,1147
2019,8100,Income,1132
2019,5175,Income,1029
2019,5176,Income,1031
2019,5177,Income,1042
2019,5178,Income,1054
2019,8867,Income,1064
2019,8866,Income,1057
2019,8865,Income,1051
2019,8853,Income,546
2019,8088,Income,1158
2019,8087,Income,1158
2019,8086,Income,1158
2019,8085,Income,1158
2019,8073,Income,959
2019,8072,Income,959
2019,8071,Income,959
2019,5190,Income,590
2019,5191,Income,541
2019,5192,Income,545
2019,5193,Income,544
2019,4740,Income,1062
2019,4741,Income,1068
2019,4742,Income,1059
2019,4743,Income,1058
2019,8070,Income,959
2019,8058,Income,1190
2019,8057,Income,1190
2019,8056,Income,1190
2019,8055,Income,1190
2019,8043,Income,1161
2019,8042,Income,1161
2019,5205,Income,1018
2019,5206,Income,1053
2019,5207,Income,1038
2019,5208,Income,1028
2019,4620,Income,996
2019,4621,Income,997
2019,4622,Income,1003
2019,4623,Income,1006
2019,8041,Income,1096
2019,8040,Income,1096
2019,8028,Income,1074
2019,8027,Income,1074
2019,8026,Income,1057
2019,8025,Income,1057
2019,8013,Income,1296
2019,5220,Income,1053
2019,5221,Income,1063
2019,5222,Income,1064
2019,5223,Income,1073
2019,8852,Income,545
2019,8851,Income,534
2019,8850,Income,581
2019,8838,Income,1028
2019,8012,Income,1242
2019,8011,Income,1226
2019,8010,Income,1245
2019,7998,Income,1228
2019,7997,Income,1200
2019,7996,Income,1178
2019,7995,Income,1166
2019,5235,Income,1010
2019,5236,Income,1023
2019,5237,Income,1034
2019,5238,Income,1029
2019,8837,Income,1008
2019,8836,Income,1000
2019,8835,Income,1009
2019,4755,Income,1121
2019,7983,Income,1073
2019,7982,Income,1071
2019,7981,Income,1058
2019,7980,Income,1050
2019,7968,Income,1027
2019,7967,Income,1020
2019,7966,Income,1024
2019,5250,Income,1244
2019,5251,Income,1258
2019,5252,Income,1281
2019,5253,Income,1311
2019,4756,Income,1130
2019,4757,Income,1145
2019,4758,Income,1151
2019,9122,Income,1116
2019,7965,Income,1016
2019,7953,Income,1102
2019,7952,Income,1104
2019,7951,Income,1103
2019,7950,Income,1079
2019,7938,Income,555
2019,7937,Income,559
2019,5265,Income,1236
2019,5266,Income,1232
2019,5267,Income,1259
2019,5268,Income,1324
2019,9121,Income,1147
2019,4590,Income,1065
2019,4591,Income,1053
2019,8823,Income,853
2019,7936,Income,552
2019,7935,Income,596
2019,7923,Income,1023
2019,7922,Income,1010
2019,7921,Income,1001
2019,7920,Income,1005
2019,7908,Income,869
2019,5280,Income,991
2019,5281,Income,991
2019,5282,Income,994
2019,5283,Income,994
2019,8822,Income,870
2019,8821,Income,876
2019,8820,Income,876
2019,8808,Income,360
2019,7907,Income,885
2019,7906,Income,893
2019,7905,Income,892
2019,7893,Income,350
2019,7892,Income,351
2019,7891,Income,361
2019,7890,Income,398
2019,5295,Income,1088
2019,5296,Income,1088
2019,5297,Income,1114
2019,5298,Income,1114
2019,8807,Income,361
2019,8806,Income,372
2019,4770,Income,1115
2019,4771,Income,1127
2019,7878,Income,1187
2019,7877,Income,1191
2019,7876,Income,1189
2019,7875,Income,1183
2019,7863,Income,805
2019,7862,Income,818
2019,7861,Income,827
2019,5310,Income,1149
2019,5311,Income,1149
2019,5312,Income,1149
2019,5313,Income,1149
2019,4772,Income,1137
2019,4773,Income,1148
2019,9062,Income,1248
2019,9061,Income,1231
2019,7860,Income,837
2019,7848,Income,972
2019,7847,Income,898
2019,7846,Income,866
2019,7845,Income,908
2019,7833,Income,1017
2019,7832,Income,1004
2019,5325,Income,916
2019,5326,Income,916
2019,5327,Income,916
2019,5328,Income,916
2019,9060,Income,1208
2019,9048,Income,1090
2019,8805,Income,414
2019,8793,Income,1220
2019,7831,Income,1012
2019,7830,Income,955
2019,7818,Income,974
2019,7817,Income,964
2019,7816,Income,963
2019,7815,Income,924
2019,7803,Income,944
2019,5340,Income,1170
2019,5341,Income,1170
2019,5342,Income,1170
2019,5343,Income,1170
2019,8792,Income,1228
2019,8791,Income,1236
2019,8790,Income,1224
2019,8778,Income,809
2019,7802,Income,952
2019,7801,Income,957
2019,7800,Income,976
2019,7788,Income,957
2019,7787,Income,939
2019,7786,Income,933
2019,7785,Income,924
2019,5355,Income,1132
2019,5356,Income,1146
2019,5357,Income,1155
2019,5358,Income,1164
2019,8777,Income,822
2019,4785,Income,1115
2019,4786,Income,1127
2019,4787,Income,1137
2019,7773,Income,1178
2019,7772,Income,1168
2019,7771,Income,1153
2019,7770,Income,1149
2019,7758,Income,1106
2019,7757,Income,1100
2019,7756,Income,1093
2019,5370,Income,979
2019,5371,Income,981
2019,5372,Income,981
2019,5373,Income,992
2019,4788,Income,1148
2019,9047,Income,1063
2019,9046,Income,1059
2019,9045,Income,1061
2019,7755,Income,1089
2019,7743,Income,1013
2019,7742,Income,1005
2019,7741,Income,1009
2019,7740,Income,1005
2019,7728,Income,1082
2019,7727,Income,1075
2019,5385,Income,1064
2019,5386,Income,1049
2019,5387,Income,1059
2019,5388,Income,1092
2019,4635,Income,1024
2019,8776,Income,831
2019,8775,Income,842
2019,8763,Income,943
2019,7726,Income,1072
2019,7725,Income,1068
2019,7713,Income,1010
2019,7712,Income,1006
2019,7711,Income,1013
2019,7710,Income,994
2019,7698,Income,991
2019,5400,Income,1222
2019,5401,Income,1246
2019,5402,Income,1263
2019,5403,Income,1272
2019,8762,Income,879
2019,8761,Income,858
2019,8760,Income,890
2019,8748,Income,1027
2019,7697,Income,991
2019,7696,Income,985
2019,7695,Income,993
2019,7683,Income,915
2019,7682,Income,929
2019,7681,Income,933
2019,7680,Income,882
2019,5415,Income,813
2019,5416,Income,810
2019,5417,Income,774
2019,5418,Income,764
2019,4800,Income,1134
2019,4801,Income,1143
2019,4802,Income,1154
2019,4803,Income,1160
2019,7668,Income,1011
2019,7667,Income,1003
2019,7666,Income,1018
2019,7665,Income,993
2019,7653,Income,1017
2019,7652,Income,1032
2019,7651,Income,1021
2019,5430,Income,1190
2019,5431,Income,1190
2019,5432,Income,1204
2019,5433,Income,1208
2019,4636,Income,1028
2019,4637,Income,1045
2019,4638,Income,1028
2019,4592,Income,1072
2019,7650,Income,965
2019,7638,Income,1051
2019,7637,Income,1050
2019,7636,Income,1051
2019,7635,Income,1017
2019,7623,Income,1010
2019,7622,Income,1010
2019,5445,Income,1114
2019,5446,Income,1103
2019,5447,Income,1076
2019,5448,Income,1051
2019,8747,Income,1009
2019,8746,Income,1017
2019,8745,Income,963
2019,8733,Income,998
2019,7621,Income,1013
2019,7620,Income,987
2019,7608,Income,1077
2019,7607,Income,1079
2019,7606,Income,1081
2019,7605,Income,1077
2019,7593,Income,1085
2019,5460,Income,1114
2019,5461,Income,1103
2019,5462,Income,1076
2019,5463,Income,1051
2019,8732,Income,987
2019,8731,Income,986
2019,8730,Income,948
2019,4815,Income,1225
2019,7592,Income,1084
2019,7591,Income,1086
2019,7590,Income,1080
2019,7578,Income,1303
2019,7577,Income,1303
2019,7576,Income,1243
2019,7575,Income,1243
2019,5475,Income,1062
2019,5476,Income,1069
2019,5477,Income,1078
2019,5478,Income,1082
2019,4816,Income,1225
2019,4817,Income,1286
2019,4818,Income,1287
2019,4593,Income,1033
2019,7563,Income,1283
2019,7562,Income,1282
2019,7561,Income,1222
2019,7560,Income,1222
2019,7548,Income,1168
2019,7547,Income,1162
2019,7546,Income,1152
2019,5490,Income,1030
2019,5491,Income,1032
2019,5492,Income,1047
2019,5493,Income,1042
2019,4577,Income,1043
2019,4578,Income,1041
2019,9033,Income,1034
2019,8718,Income,940
2019,7545,Income,1143
2019,7533,Income,1140
2019,7532,Income,1130
2019,7531,Income,1121
2019,7530,Income,1110
2019,7518,Income,1140
2019,7517,Income,1130
2019,5505,Income,1044
2019,5506,Income,1033
2019,5507,Income,1049
2019,5508,Income,999
2019,8717,Income,946
2019,8716,Income,951
2019,8715,Income,971
2019,8703,Income,966
2019,7516,Income,1121
2019,7515,Income,1110
2019,7503,Income,1158
2019,7502,Income,1153
2019,7501,Income,1135
2019,7500,Income,1128
2019,7488,Income,1032
2019,5520,Income,1015
2019,5521,Income,1019
2019,5522,Income,1054
2019,5523,Income,1067
2019,8702,Income,945
2019,8701,Income,940
2019,4830,Income,1241
2019,4831,Income,1241
2019,7487,Income,1027
2019,7486,Income,1044
2019,7485,Income,1034
2019,7473,Income,1011
2019,7472,Income,1001
2019,7471,Income,1008
2019,7470,Income,999
2019,5535,Income,998
2019,5536,Income,999
2019,5537,Income,1005
2019,5538,Income,1007
2019,4832,Income,1303
2019,4833,Income,1303
2019,9032,Income,1025
2019,9031,Income,1023
2019,7458,Income,1016
2019,7457,Income,1007
2019,7456,Income,1016
2019,7455,Income,1007
2019,7443,Income,1633
2019,7442,Income,1633
2019,7441,Income,1632
2019,5550,Income,1025
2019,5551,Income,1032
2019,5552,Income,1050
2019,5553,Income,1034
2019,9030,Income,1019
2019,9018,Income,1179
2019,8700,Income,935
2019,8688,Income,1167
2019,7440,Income,1632
2019,7428,Income,1035
2019,7427,Income,1043
2019,7426,Income,1039
2019,7425,Income,1032
2019,7413,Income,1240
2019,7412,Income,1246
2019,5565,Income,1114
2019,5566,Income,1130
2019,5567,Income,1138
2019,5568,Income,1146
2019,8687,Income,1159
2019,8686,Income,1148
2019,8685,Income,1144
2019,8673,Income,1102
2019,7411,Income,1243
2019,7410,Income,1238
2019,7398,Income,1141
2019,7397,Income,1134
2019,7396,Income,1126
2019,7395,Income,1111
2019,7383,Income,1042
2019,5580,Income,1295
2019,5581,Income,1298
2019,5582,Income,1302
2019,5583,Income,1295
2019,8672,Income,1097
2019,4845,Income,1077
2019,4846,Income,1083
2019,4847,Income,1081
2019,7382,Income,1056
2019,7381,Income,1039
